id_createur;prenom_createur;nom_createur
1;'Antoine';'Bauza'
2;'Nicolas';'Fructus'
3;'Picksel';''
4;'Yuio';''
5;'Bruno';'Cathala'
6;'Charles';'Chevalier'
7;'Pascal';'Quidault'
8;'Malcolm';'Braff'
9;'Sebastien';'Pauchon'
10;'Mathieu';'Leyssenne'
11;'Rudiger';'Dorn'
12;'Claus';'Stefan'
13;'Gordon';'Hamilton'
14;'David';'Forest'
15;'Lina';'Cossette'
16;'Wolfgang';'Kramer'
17;'Lindsay';'Daviau'
18;'Xavier';'Collette'
19;'Florian';'Sireix'
20;'Felideus';'Bubastis'
21;'Marc';'Paquien'
22;'Jeremie';'Fleury'
23;'Francois';'Gandon'
24;'Sabrina';'Miramon'
25;'Clement';'Masson'
26;'Reiner';'Knizia'
27;'Franz';'Vohwinkel'
28;'Michael';'Feldkotter'
29;'Stephanie';'Bohm'
30;'Vincent';'Dutrait'
31;'Inka';'Brand'
32;'Markus';'Brand'
33;'Dennis';'Lohaussen'
34;'Miguel';'Coimbra'
35;'Claude';'Lucchini'
36;'Paul';'Mafayon'
37;'Regis';'Bonnesse'
38;'Biboun';''
39;'Sebastien';'Dujardin'
40;'Frederic';'Guerard'
41;'Anthony';'Wolff'
42;'Etienne';'Hebinger'
43;'Richard';'Garfield'
44;'Sylas';''
45;'Henri';'Pym'
46;'Christine';'Alcouffe'
47;'Davis';'Ausloos'
48;'Francois';'Haffner'
49;'David';'Cochard'
50;'Evan';'Singh'
51;'Klaus';'Teuber'
52;'Michael';'Menzel'
53;'Ludovic';'Maublanc'
54;'Piero';''
55;'Emerson';'Matsuuchi'
56;'Fernanda';'Suarez'
57;'Marc';'Andre'
58;'David';'Parlett'
59;'Thibault';'Prugne'
60;'Tom';'Vuarchex'
61;'Michael';'Stach'
62;'Michaela';'Stachova'
63;'Filip';'Murmak'
64;'Alain';'Rivolet'
65;'Gaetan';'Beaujanot'
66;'Eric';'Azagury'
67;'Jean-Louis';'Roubira'
68;'Marie';'Cardouat'
69;'Michael';'Kiesling'
70;'Chris';'Quilliams'
71;'Alan';'R.Moon'
72;'Julien';'Delval'
73;'Stefan';'Dorra'
74;'Eduardo';'Berra'
75;'Daryl';'Andrews'
76;'Adrian';'Adamescu'
77;'Peter';'Woken'
78;'Anne';'Heidsieck'
79;'Bruno';'Faidutti'
80;'Andrew';'Bosley'
81;'Vlaada';'Chvatil'
82;'Tomas';'Kucerovsky'
83;'Cyril';'Bouquet'
84;'Benoit';'Turpin'
85;'Julio';'Cesar'
86;'Aaron';'Weisblum'
87;'Gaetan';'Noir'
88;'Luka';'Krezla'
89;'Claire';'Conan'
90;'Theo';'Riviere'
91;'Frederic';'Henry'
92;'Masao';'Suganuma'
93;'Noboru';'Hotta'