id_jeu;nom_jeu;editeur;type;duree;date_parution
1;'Takenoko';'Bombyx';'Points';45;2011
2;'Conspiracy';'Bombyx';'Points';30;2019
3;'Jamaica';'Game Works';'Course';45;2008
4;'Karuba';'Haba';'Course';40;2015
5;'Santorini';'Roxley';'Course';20;2018
6;'Down Force';'Iello';'Course';30;2018
7;'Abyss';'Bombyx';'Points';45;2014
8;'Imaginarium';'Bombyx';'Points';90;2017
9;'Yamatai';'Days of wonder';'Points';80;2017
10;'Quadropolis';'Days of wonder';'Points';60;2016
11;'Five Tribes';'Days of wonder';'Points';60;2014
12;'El Dorado';'Ravensburger';'Course';60;2017
13;'Iquazu';'Haba';'Points';50;2017
14;'L’ile au tresor';'Matagot';'Course';45;2018
15;'Descendance';'Gigamic';'Points';90;2012
16;'7 Wonders';'Repos Production';'Points';30;2010
17;'Otys';'Libellud';'Points';60;2017
18;'Dice Forge';'Libellud';'Points';45;2017
19;'Solenia';'Pearl Games';'Points';45;2018
20;'It’s a wonderful world';'Ori Games';'Points';45;2020
21;'7 Wonders Architects';'Repos Production';'Course';25;2021
22;'Bunny Kingdom';'Iello';'Points';45;2017
23;'Pharaon';'Catch up Games';'Points';60;2019
24;'Dreamscape';'Sylex';'Points';90;2018
25;'Maka Bana';'Sweet Games';'Points';45;2009
26;'Ishtar';'Iello';'Points';45;2019
27;'Catan';'Filosofia';'Points';75;2007
28;'Mr.Jack';'Hurrican';'Course';30;2006
29;'Century';'Plan B Games';'Points';45;2017
30;'Splendor';'Space Cowboys';'Course';30;2016
31;'Le tour du monde en 80 jours';'Purple Brain Classics';'Course';45;2016
32;'Les ruines perdues de Narak';'Iello';'Points';100;2021
33;'Concept';'Repos Production';'Points';40;2014
34;'Dixit';'Libellud';'Course';30;2014
35;'Azul';'Next Move';'Points';30;2018
36;'Les aventuriers du rail';'Days of wonder';'Points';100;2016
37;'Medina';'Gigamic';'Points';60;2014
38;'Sagrada';'Matagot';'Points';40;2019
39;'Majesty';'Hans im gluck';'Points';30;2017
40;'Citadelles';'Edge';'Points';45;2014
41;'Code Names';'Iello';'Course';15;2016
42;'Kingdomino';'Blue Orange';'Points';15;2016
43;'Welcome';'Blue Cocker';'Points';25;2017
44;'Corinth';'Days of wonder';'Points';25;2019
45;'Celestia';'Blam';'Points';30;2015
46;'7 Wonders Duel';'Repos Production';'Points';30;2020
47;'Chakra';'Blam';'Course';30;2019
48;'Sea of clouds';'Iello';'Points';40;2015
49;'Les batisseurs';'Bombyx';'Points';30;2017
50;'Minivilles';'MGA';'Course';30;2014