id_mecanique;id_jeu
1;1
2;1
3;2
4;2
2;2
5;3
6;3
4;4
7;4
8;5
2;5
9;6
10;6
5;7
11;7
5;8
8;8
2;9
3;9
7;10
2;10
20;11
2;11
5;12
1;12
12;12
12;13
5;13
13;14
14;14
2;15
12;15
20;15
8;16
15;16
6;16
1;16
6;17
2;17
5;18
21;18
6;18
6;19
12;19
5;20
15;20
3;20
6;20
6;21
5;21
4;21
15;22
2;22
6;23
5;23
2;24
6;24
14;25
2;25
2;26
1;26
8;27
21;27
2;27
16;27
1;28
13;28
16;29
5;29
6;29
16;30
5;30
6;30
3;31
9;31
2;32
9;32
5;32
17;33
18;33
17;34
5;34
19;34
2;35
4;35
7;35
2;36
9;36
2;37
3;37
8;37
2;38
4;38
21;38
4;39
2;39
9;39
8;40
4;40
5;40
19;41
18;41
13;41
2;42
4;42
7;42
2;43
4;43
5;43
21;44
6;44
9;45
1;46
5;46
8;46
2;47
6;47
12;47
5;48
9;48
8;49
1;49
5;49
8;50
5;50
4;50